Turkish,English
şerefsiz,Bastard
bok,Sh*t
orospu,B*tch
çüş,Damn
aptal,Idiot
sapık,Pervert
dangoz,Fool
ayı,Brute
mallık,Dumbness
kılıbık,Wimp
kıl,Annoying
kaltak,Harlot
moron,Moron
cahil,Dumb
öküz,Oaf
hödük,Hick
gerzek,Dunce
zırdeli,Madman
çomar,Redneck
ezik,Loser
kıro,Hillbilly
çıplak,Naked
uyuz,Pest
çıtır,Cutie
şımarık,Brat
tıfıl,Scrawny
dangalak,Idiot
boş,Empty
arsız,Shameless
yalancı,Liar
çakal,Scammer
maymun,Monkey
köle,Slave
yalaka,Sycophant
patlak,Burst
çatlak,Crazy
tokat,Slap
köfte,Lame
saftirik,Naive
hapı,Screwed
kazma,Clod
sokak,Stray
keklik,Gullible
pislik,Filth
şapşal,Dopey
çorap,Sock
ahmak,Fool
arsız,Bold
fırlama,Joker
çıban,Pain
yüzsüz,Boldface
keltoş,Baldy
maytap,Tease
gıcık,Annoyance
çöp,Trash
hortlak,Ghoul
eşek,Donkey
bunak,Senile
hıyar,Cucumber
sümüklü,Snotty
zangoç,Oddball
çömez,Novice
tokatçı,Scammer
bahtsız,Unlucky
moruk,Geezer
kart,Oldie
bön,Dimwit
kömür,Coal
yalama,Worn
keş,Junkie
çakma,Fake
balta,Dullard
cimri,Miser
lame,Lame
ayı,Goon
troll,Troll
lan,Oaf
ulan,Dude
şom,Jinx
yancı,Tagalong
beleş,Freebie
çaylak,Rookie
hortum,Hose
tokatçı,Crook
para,Money
paraşüt,Freeloader
balık,Fishy
zibidi,Wannabe
kör,Blind
deli,Mad
köylü,Peasant
ucuz,Cheap
çıkar,Greedy
kirli,Dirty
delik,Hole
koku,Smell
çirkin,Ugly
cinsel,Sexual
kalın,Thick
çekici,Attractive
